"cd_periodo","tx_grupo","nu_valor"
"202110","EEFF / Financial Institutions","34,9991538622602"
"202110","OPNFC / Other Non-Financial Credit Providers","11,9517013105096"
"202110","PNFC / Non-Financial Credit Providers","23,7387327438095"
"202110","TCNB / Non-Bank Credit Cards","14,7148831326026"
"202111","Bancos Privados / Private Banks","26,0369042119648"
"202111","Bancos Públicos / Public Banks","11,8550275632375"
"202111","Compañías Financieras / Financial Companies","1,86091648140878"
"202111","EEFF / Financial Institutions","35,1935601809984"
"202111","OPNFC / Other Non-Financial Credit Providers","12,7299435427801"
"202111","PNFC / Non-Financial Credit Providers","24,3561741270948"
"202111","TCNB / Non-Bank Credit Cards","14,671034245158"
"202112","Bancos Privados / Private Banks","25,9677557321768"
"202112","Bancos Públicos / Public Banks","11,9456250498121"
"202112","Compañías Financieras / Financial Companies","1,82200845363828"
"202112","EEFF / Financial Institutions","35,1938488742681"
"202112","OPNFC / Other Non-Financial Credit Providers","13,0421824228816"
"202112","PNFC / Non-Financial Credit Providers","24,5847984978027"
"202112","TCNB / Non-Bank Credit Cards","14,6440526346164"
"202201","Bancos Privados / Private Banks","25,8821484999691"
"202201","Bancos Públicos / Public Banks","11,9788994332234"
"202201","Compañías Financieras / Financial Companies","1,80201784952089"
"202201","EEFF / Financial Institutions","35,1648122846473"
"202201","OPNFC / Other Non-Financial Credit Providers","13,3153826820087"
"202201","PNFC / Non-Financial Credit Providers","24,8159117291507"
"202201","TCNB / Non-Bank Credit Cards","14,6644414540039"
"202202","Bancos Privados / Private Banks","25,8009503318732"
"202202","Bancos Públicos / Public Banks","12,131894977756"
"202202","Compañías Financieras / Financial Companies","1,77363186211901"
"202202","EEFF / Financial Institutions","35,2332341856604"
"202202","OPNFC / Other Non-Financial Credit Providers","14,2939057039913"
"202202","PNFC / Non-Financial Credit Providers","25,6541174857064"
"202202","TCNB / Non-Bank Credit Cards","14,7342385201566"
"202203","Bancos Privados / Private Banks","25,8747437727234"
"202203","Bancos Públicos / Public Banks","12,3045213065456"
"202203","Compañías Financieras / Financial Companies","1,7517383519763"
"202203","EEFF / Financial Institutions","35,4634536244079"
"202203","OPNFC / Other Non-Financial Credit Providers","14,7653307970535"
"202203","PNFC / Non-Financial Credit Providers","26,200963710576"
"202203","TCNB / Non-Bank Credit Cards","15,0958525300107"
"202204","Bancos Privados / Private Banks","25,8456671527093"
"202204","Bancos Públicos / Public Banks","12,4317427580548"
"202204","Compañías Financieras / Financial Companies","1,72865017505805"
"202204","EEFF / Financial Institutions","35,5503655871538"
"202204","OPNFC / Other Non-Financial Credit Providers","15,3177723637842"
"202204","PNFC / Non-Financial Credit Providers","26,6858431547124"
"202204","TCNB / Non-Bank Credit Cards","15,1339164894507"
"202205","Bancos Privados / Private Banks","25,8065482974824"
"202205","Bancos Públicos / Public Banks","12,4893982532748"
"202205","Compañías Financieras / Financial Companies","1,72386132560574"
"202205","EEFF / Financial Institutions","35,5723151166342"
"202205","OPNFC / Other Non-Financial Credit Providers","15,9249924122135"
"202205","PNFC / Non-Financial Credit Providers","27,1277277248358"
"202205","TCNB / Non-Bank Credit Cards","15,0579348474033"
"202206","Bancos Privados / Private Banks","25,8408439842045"
"202206","Bancos Públicos / Public Banks","12,5412473242661"
"202206","Compañías Financieras / Financial Companies","1,70001979626779"
"202206","EEFF / Financial Institutions","35,645407429535"
"202206","OPNFC / Other Non-Financial Credit Providers","16,279286486151"
"202206","PNFC / Non-Financial Credit Providers","27,4143128297035"
"202206","TCNB / Non-Bank Credit Cards","15,0286234677283"
"202207","Bancos Privados / Private Banks","25,40422"
"202207","Bancos Públicos / Public Banks","12,44562"
"202207","Compañías Financieras / Financial Companies","1,66689"
"202207","EEFF / Financial Institutions","35,15957"
"202207","TCNB / Non-Bank Credit Cards","14,81859"
"202207","OPNFC / Other Non-Financial Credit Providers","16,50361"
"202207","PNFC / Non-Financial Credit Providers","27,33339"
"202208","Bancos Privados / Private Banks","25,50906"
"202208","Bancos Públicos / Public Banks","12,61609"
"202208","Compañías Financieras / Financial Companies","1,64838"
"202208","EEFF / Financial Institutions","35,39201"
"202208","TCNB / Non-Bank Credit Cards","14,80313"
