scope,id,tema,titulo,url,declared_local_path,url_extension,audit_state,local_matches,versions,reference_files,registry_statuses,period_or_role,already_in_master_catalog
data/fuentes/FUENTES.csv,emae_indec_informe_202606,emae,Estimador mensual de actividad económica. Junio de 2026,https://www.indec.gob.ar/uploads/informesdeprensa/emae_08_26AADBE275B1.pdf,/data/fuentes/emae/indec/emae_08_26.pdf,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/emae/indec/emae_08_26.pdf,,,,2026-06,True
data/fuentes/FUENTES.csv,emae_indec_metodologia,emae,Metodología del EMAE,https://www.indec.gob.ar/ftp/cuadros/economia/metodologia_emae_ago_16.pdf,/data/fuentes/emae/metodologia/metodologia_emae_ago_16.pdf,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/emae/metodologia/metodologia_emae_ago_16.pdf,,,,base 2004,True
data/fuentes/FUENTES.csv,emae_indec_xls,emae,EMAE mensual base 2004,https://www.indec.gob.ar/ftp/cuadros/economia/sh_emae_mensual_base2004.xls,/data/fuentes/emae/indec/sh_emae_mensual_base2004.xls,.xls,PRESERVED_LOCAL_HASH_OK,/data/fuentes/emae/indec/sh_emae_mensual_base2004.xls,,,,2004-01/2026-06,True
data/fuentes/FUENTES.csv,emae_datos_argentina_csv,emae,EMAE mensual base 2004,https://infra.datos.gob.ar/catalog/sspm/dataset/143/distribution/143.3/download/emae-valores-anuales-indice-base-2004-mensual.csv,/data/fuentes/emae/indec/datos_argentina_emae_mensual.csv,.csv,PRESERVED_LOCAL_HASH_OK,/data/fuentes/emae/indec/datos_argentina_emae_mensual.csv,,,,2004-01/2026-06,True
data/fuentes/FUENTES.csv,pnfc_anexo,fintech,Anexo estadístico PNFC junio 2026,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/anexo-estadistico-proveedores-no-financieros-credito-junio-2026.xlsx,/data/fuentes/tasas/pnfc/anexo-estadistico-proveedores-no-financieros-credito-junio-2026.xlsx,.xlsx,PRESERVED_LOCAL_HASH_OK,/data/fuentes/tasas/pnfc/anexo-estadistico-proveedores-no-financieros-credito-junio-2026.xlsx,,,,hasta 2026-02,True
data/fuentes/FUENTES.csv,pnfc_informe,fintech,Informe de Proveedores No Financieros de Crédito,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/informe-proveedores-no-financieros-credito-junio-2026.pdf,/data/fuentes/tasas/pnfc/informe-proveedores-no-financieros-credito-junio-2026.pdf,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/tasas/pnfc/informe-proveedores-no-financieros-credito-junio-2026.pdf,,,,hasta 2026-02,True
data/fuentes/FUENTES.csv,pnfc_pagina,fintech,Página de publicación PNFC junio 2026,https://www.bcra.gob.ar/publicaciones/informe-de-proveedores-no-financieros-de-credito-junio-de-2026/,/data/fuentes/tasas/pnfc/informe_pnfc_junio_2026.html,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/tasas/pnfc/informe_pnfc_junio_2026.html,,,,hasta 2026-02,True
data/fuentes/FUENTES.csv,pnfc_series,fintech,Series del informe PNFC junio 2026,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/series-informe-proveedores-no-financieros-credito-junio-2026.xlsx,/data/fuentes/tasas/pnfc/series-informe-proveedores-no-financieros-credito-junio-2026.xlsx,.xlsx,PRESERVED_LOCAL_HASH_OK,/data/fuentes/tasas/pnfc/series-informe-proveedores-no-financieros-credito-junio-2026.xlsx,,,,2026-02,True
data/fuentes/FUENTES.csv,arca_bienes_personales_pagina,grandes_fortunas,Bienes Personales · declaración jurada,https://www.arca.gob.ar/gananciasYBienes/bienes-personales/declaracion-jurada/,/data/fuentes/grandes_fortunas/arca/bienes_personales_declaracion_2026-08-20.html,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/grandes_fortunas/arca/bienes_personales_declaracion_2026-08-20.html,,,,consulta 2026-08-20,True
data/fuentes/FUENTES.csv,arca_bp_tramos_2022,grandes_fortunas,Bienes Personales 2022: presentaciones y bienes por tramo,https://contenidos.afip.gob.ar/institucional/estudios/archivos/estadisticasTributarias/Estadisticas-Tributarias-2023.zip,/data/fuentes/grandes_fortunas/arca/bienes_personales_tramos_2022.xls,.zip,PRESERVED_LOCAL_HASH_OK,/data/fuentes/grandes_fortunas/arca/bienes_personales_tramos_2022.xls,,,,fiscal 2022,True
