path,bytes,mib,over_50_mib,over_100_mib
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_ipc_dic2023.pdf,2516416,2.399841,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_pib_1t2024.pdf,1222904,1.166252,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_pib_1t2026.pdf,2635028,2.512959,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2018_ciclo.pdf,1423308,1.357372,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2019_ciclo.pdf,902373,0.860570,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_2s2023_ciclo.pdf,1144797,1.091763,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_1s2024_ahorro_ph.pdf,2122951,2.024604,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_1s2025_mora.pdf,2404631,2.293235,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_2s2024_ahorro_ph.pdf,2319050,2.211618,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_2s2025_ahorro_ph.pdf,1877423,1.790450,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_imm_dic2024_mora.pdf,2284708,2.178867,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_imm_jun2014_a5590.pdf,486976,0.464417,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_abr2018_ciclo.pdf,464279,0.442771,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_dic2013_buffers.pdf,337144,0.321526,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_dic2018_ciclo.pdf,483849,0.461434,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_dic2024_mora.pdf,267538,0.255144,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_ene2014_ciclo.pdf,321457,0.306565,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_feb2014_ciclo.pdf,339417,0.323693,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_feb2024_ciclo.pdf,286695,0.273414,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_jul2018_ciclo.pdf,532098,0.507448,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_jun2026_mora.pdf,464020,0.442524,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_mar2024_ciclo.pdf,567293,0.541013,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_may2018_ciclo.pdf,495085,0.472150,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_nov2023_ciclo.pdf,370652,0.353481,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_nov2025_mora.pdf,336116,0.320545,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_oct2018_ciclo.pdf,539293,0.514310,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_sep2018_ciclo.pdf,496615,0.473609,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_sep2024_ciclo.pdf,473410,0.451479,False,False
data/fuentes/ciclo_ajuste/recovered_loose/Infbanc0624.xlsx,138416,0.132004,False,False
data/fuentes/ciclo_ajuste/REFERENCIAS_CICLO_AJUSTE_V51.md,6970,0.006647,False,False
data/fuentes/ciclo_ajuste/REFERENCIAS_CICLO_AJUSTE_V70.md,9495,0.009055,False,False
data/fuentes/ciclo_ajuste/v70/BNA_9M_BINARY_RECOVERY_V70.csv,1486,0.001417,False,False
data/fuentes/ciclo_ajuste/v70/CLOSED_NETWORK_COVERAGE_V70.csv,3457,0.003297,False,False
data/fuentes/ciclo_ajuste/v70/EVIDENCE_LEDGER_CICLO_AJUSTE_V70.csv,10506,0.010019,False,False
data/fuentes/ciclo_ajuste/v70/FOUR_LEG_PASS_PANEL_V70.csv,4537,0.004327,False,False
data/fuentes/ciclo_ajuste/v70/HOUSEHOLD_SECTOR_MAPPING_V70.csv,2015,0.001922,False,False
data/fuentes/ciclo_ajuste/VEREDICTO_CICLO_AJUSTE_V70.md,2064,0.001968,False,False
data/fuentes/credito_consumo/banco_masventas/2026-08-30/F0132-SOLICITUD-PRESTAMOS-PERSONALES.pdf,75694,0.072187,False,False
data/fuentes/credito_consumo/banco_masventas/2026-08-30/pagina-tasas-interes-cft-2026-08-30.html,135146,0.128885,False,False
data/fuentes/credito_consumo/banco_masventas/2026-08-30/respuesta-descarga-TASAS-04-06-26.html,299,0.000285,False,False
data/fuentes/credito_consumo/banco_masventas/2026-08-30/Resumen-Solicitud-Prestamo-Personal-F0268-012023.pdf,53652,0.051167,False,False
data/fuentes/credito_consumo/banco_masventas/2026-08-30/TASAS-05-08-2026.pdf,399435,0.380931,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/202605d.7z,35486621,33.842679,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00007.txt,87556,0.083500,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00011.txt,67637,0.064504,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00014.txt,69889,0.066651,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00015.txt,84126,0.080229,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00016.txt,34460,0.032864,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00017.txt,70553,0.067285,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00020.txt,64588,0.061596,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00027.txt,64911,0.061904,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00029.txt,56299,0.053691,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00034.txt,56685,0.054059,False,False
