periodo,estrato_ipcf,combinacion_exacta,porcentaje_ponderado,hogares_expandidos,hogares_expandidos_denominador,n_muestral
2025-Q2,medio,ahorro+cuotas_fiado+venta,1.198,47982,4004146,4958
2025-Q2,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.916,36690,4004146,4958
2025-Q2,medio,cuotas_fiado+venta,0.83,33247,4004146,4958
2025-Q2,medio,venta,0.759,30400,4004146,4958
2025-Q2,medio,ahorro+prestamo_banco,0.755,30237,4004146,4958
2025-Q2,medio,prestamo_familia+prestamo_banco+cuotas_fiado,0.723,28938,4004146,4958
2025-Q2,medio,ahorro+venta,0.651,26079,4004146,4958
2025-Q2,medio,ahorro+prestamo_banco+cuotas_fiado+venta,0.639,25585,4004146,4958
2025-Q2,medio,prestamo_banco+cuotas_fiado+venta,0.304,12191,4004146,4958
2025-Q2,medio,ahorro+prestamo_familia+venta,0.304,12176,4004146,4958
2025-Q2,medio,ahorro+prestamo_banco+venta,0.296,11838,4004146,4958
2025-Q2,medio,ahorro+prestamo_familia+prestamo_banco,0.263,10522,4004146,4958
2025-Q2,medio,prestamo_familia+prestamo_banco,0.189,7584,4004146,4958
2025-Q2,medio,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.178,7120,4004146,4958
2025-Q2,medio,prestamo_familia+cuotas_fiado+venta,0.125,5001,4004146,4958
2025-Q2,medio,prestamo_familia+venta,0.1,3988,4004146,4958
2025-Q2,medio,prestamo_banco+venta,0.09,3593,4004146,4958
2025-Q2,medio,ahorro+prestamo_familia+prestamo_banco+venta,0.08,3184,4004146,4958
2025-Q2,medio,prestamo_familia+prestamo_banco+venta,0.013,516,4004146,4958
2025-Q2,alto,cuotas_fiado,30.485,609443,1999134,2249
2025-Q2,alto,ninguna,26.603,531828,1999134,2249
2025-Q2,alto,ahorro+cuotas_fiado,16.53,330447,1999134,2249
2025-Q2,alto,ahorro,6.742,134778,1999134,2249
2025-Q2,alto,ahorro+prestamo_banco+cuotas_fiado,3.537,70700,1999134,2249
2025-Q2,alto,prestamo_banco+cuotas_fiado,2.527,50521,1999134,2249
2025-Q2,alto,ahorro+prestamo_familia+cuotas_fiado,1.742,34817,1999134,2249
2025-Q2,alto,prestamo_banco,1.453,29050,1999134,2249
2025-Q2,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.267,25325,1999134,2249
2025-Q2,alto,prestamo_familia+cuotas_fiado,1.195,23882,1999134,2249
2025-Q2,alto,ahorro+prestamo_banco+cuotas_fiado+venta,1.031,20608,1999134,2249
2025-Q2,alto,ahorro+prestamo_banco,1.002,20034,1999134,2249
2025-Q2,alto,ahorro+cuotas_fiado+venta,0.85,16989,1999134,2249
2025-Q2,alto,venta,0.746,14905,1999134,2249
2025-Q2,alto,ahorro+prestamo_familia,0.674,13473,1999134,2249
2025-Q2,alto,prestamo_familia,0.594,11881,1999134,2249
2025-Q2,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.538,10747,1999134,2249
2025-Q2,alto,ahorro+prestamo_familia+prestamo_banco,0.533,10648,1999134,2249
2025-Q2,alto,ahorro+prestamo_familia+venta,0.438,8764,1999134,2249
2025-Q2,alto,ahorro+venta,0.334,6674,1999134,2249
2025-Q2,alto,prestamo_familia+prestamo_banco+cuotas_fiado,0.299,5973,1999134,2249
2025-Q2,alto,cuotas_fiado+venta,0.217,4340,1999134,2249
2025-Q2,alto,ahorro+prestamo_familia+cuotas_fiado+venta,0.184,3680,1999134,2249
2025-Q2,alto,prestamo_banco+cuotas_fiado+venta,0.163,3261,1999134,2249
2025-Q2,alto,ahorro+prestamo_familia+prestamo_banco+venta,0.098,1956,1999134,2249
2025-Q2,alto,prestamo_familia+cuotas_fiado+venta,0.076,1526,1999134,2249
2025-Q2,alto,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.073,1454,1999134,2249
2025-Q2,alto,prestamo_familia+venta,0.033,668,1999134,2249
2025-Q2,alto,prestamo_familia+prestamo_banco+venta,0.033,660,1999134,2249
2025-Q2,alto,prestamo_familia+prestamo_banco,0.005,102,1999134,2249
2025-S1,total,ninguna,29.31,5960301,20335114,32153
2025-S1,total,cuotas_fiado,21.169,4304783,20335114,32153
2025-S1,total,ahorro+cuotas_fiado,11.614,2361800,20335114,32153
2025-S1,total,ahorro,8.768,1782914,20335114,32153
2025-S1,total,prestamo_banco+cuotas_fiado,2.862,582005,20335114,32153
2025-S1,total,ahorro+prestamo_banco+cuotas_fiado,2.852,580001,20335114,32153
2025-S1,total,ahorro+prestamo_familia+cuotas_fiado,2.666,542112,20335114,32153
2025-S1,total,ahorro+prestamo_familia,2.278,463267,20335114,32153
2025-S1,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.746,354988,20335114,32153
2025-S1,total,prestamo_familia+cuotas_fiado,1.693,344275,20335114,32153
2025-S1,total,prestamo_banco,1.671,339863,20335114,32153
2025-S1,total,prestamo_familia,1.501,305280,20335114,32153
2025-S1,total,ahorro+prestamo_familia+cuotas_fiado+venta,1.357,275895,20335114,32153
2025-S1,total,ahorro+cuotas_fiado+venta,1.037,210901,20335114,32153
2025-S1,total,venta,1.007,204786,20335114,32153
2025-S1,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.89,181048,20335114,32153
2025-S1,total,ahorro+prestamo_banco,0.871,177114,20335114,32153
2025-S1,total,ahorro+prestamo_familia+venta,0.852,173268,20335114,32153
2025-S1,total,ahorro+venta,0.819,166609,20335114,32153
2025-S1,total,cuotas_fiado+venta,0.806,163897,20335114,32153
2025-S1,total,ahorro+prestamo_familia+prestamo_banco,0.677,137641,20335114,32153
2025-S1,total,prestamo_familia+prestamo_banco+cuotas_fiado,0.659,134049,20335114,32153
2025-S1,total,ahorro+prestamo_banco+cuotas_fiado+venta,0.53,107837,20335114,32153
2025-S1,total,prestamo_familia+cuotas_fiado+venta,0.474,96341,20335114,32153
2025-S1,total,prestamo_familia+venta,0.429,87161,20335114,32153
2025-S1,total,prestamo_familia+prestamo_banco,0.328,66623,20335114,32153
2025-S1,total,prestamo_banco+cuotas_fiado+venta,0.299,60887,20335114,32153
2025-S1,total,ahorro+prestamo_familia+prestamo_banco+venta,0.241,48974,20335114,32153
2025-S1,total,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.219,44476,20335114,32153
2025-S1,total,prestamo_banco+venta,0.158,32167,20335114,32153
2025-S1,total,ahorro+prestamo_banco+venta,0.157,31839,20335114,32153
2025-S1,total,prestamo_familia+prestamo_banco+venta,0.059,12012,20335114,32153
2025-S1,bajo,ninguna,32.523,2683876,8252166,17940
2025-S1,bajo,cuotas_fiado,14.616,1206100,8252166,17940
2025-S1,bajo,ahorro,10.071,831101,8252166,17940
2025-S1,bajo,ahorro+cuotas_fiado,7.626,629286,8252166,17940
2025-S1,bajo,ahorro+prestamo_familia,3.301,272444,8252166,17940
2025-S1,bajo,ahorro+prestamo_familia+cuotas_fiado,3.121,257546,8252166,17940
2025-S1,bajo,prestamo_familia,2.542,209771,8252166,17940
2025-S1,bajo,prestamo_familia+cuotas_fiado,2.394,197525,8252166,17940
2025-S1,bajo,ahorro+prestamo_banco+cuotas_fiado,2.119,174831,8252166,17940
2025-S1,bajo,prestamo_banco+cuotas_fiado,2.038,168155,8252166,17940
2025-S1,bajo,ahorro+prestamo_familia+cuotas_fiado+venta,1.826,150673,8252166,17940
2025-S1,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.809,149260,8252166,17940
2025-S1,bajo,prestamo_banco,1.801,148616,8252166,17940
2025-S1,bajo,venta,1.586,130915,8252166,17940
2025-S1,bajo,ahorro+prestamo_familia+venta,1.465,120879,8252166,17940
2025-S1,bajo,ahorro+venta,1.292,106634,8252166,17940
2025-S1,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.125,92839,8252166,17940
2025-S1,bajo,cuotas_fiado+venta,1.084,89484,8252166,17940
2025-S1,bajo,ahorro+prestamo_familia+prestamo_banco,0.973,80328,8252166,17940
2025-S1,bajo,prestamo_familia+venta,0.949,78311,8252166,17940
2025-S1,bajo,prestamo_familia+cuotas_fiado+venta,0.923,76201,8252166,17940
2025-S1,bajo,prestamo_familia+prestamo_banco+cuotas_fiado,0.786,64846,8252166,17940
2025-S1,bajo,ahorro+prestamo_banco,0.764,63021,8252166,17940
2025-S1,bajo,ahorro+cuotas_fiado+venta,0.691,57033,8252166,17940
2025-S1,bajo,prestamo_familia+prestamo_banco,0.463,38179,8252166,17940
2025-S1,bajo,prestamo_banco+cuotas_fiado+venta,0.448,37003,8252166,17940
2025-S1,bajo,ahorro+prestamo_familia+prestamo_banco+venta,0.417,34427,8252166,17940
2025-S1,bajo,ahorro+prestamo_banco+cuotas_fiado+venta,0.388,31984,8252166,17940
2025-S1,bajo,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.382,31555,8252166,17940
2025-S1,bajo,prestamo_banco+venta,0.243,20013,8252166,17940
2025-S1,bajo,ahorro+prestamo_banco+venta,0.135,11105,8252166,17940
2025-S1,bajo,prestamo_familia+prestamo_banco+venta,0.1,8225,8252166,17940
2025-S1,medio,ninguna,28.252,2276392,8057465,9815
2025-S1,medio,cuotas_fiado,22.386,1803720,8057465,9815
2025-S1,medio,ahorro+cuotas_fiado,13.422,1081497,8057465,9815
2025-S1,medio,ahorro,8.814,710212,8057465,9815
2025-S1,medio,prestamo_banco+cuotas_fiado,3.623,291934,8057465,9815
2025-S1,medio,ahorro+prestamo_banco+cuotas_fiado,2.892,233026,8057465,9815
2025-S1,medio,ahorro+prestamo_familia+cuotas_fiado,2.692,216892,8057465,9815
2025-S1,medio,ahorro+prestamo_familia,1.912,154057,8057465,9815
2025-S1,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.756,141475,8057465,9815
2025-S1,medio,prestamo_banco,1.724,138932,8057465,9815
2025-S1,medio,ahorro+cuotas_fiado+venta,1.426,114889,8057465,9815
2025-S1,medio,prestamo_familia+cuotas_fiado,1.283,103354,8057465,9815
2025-S1,medio,ahorro+prestamo_familia+cuotas_fiado+venta,1.22,98281,8057465,9815
2025-S1,medio,ahorro+prestamo_banco,1.051,84661,8057465,9815
2025-S1,medio,prestamo_familia,0.958,77176,8057465,9815
2025-S1,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.76,61247,8057465,9815
2025-S1,medio,cuotas_fiado+venta,0.753,60708,8057465,9815
2025-S1,medio,prestamo_familia+prestamo_banco+cuotas_fiado,0.692,55718,8057465,9815
2025-S1,medio,ahorro+venta,0.625,50351,8057465,9815
2025-S1,medio,ahorro+prestamo_banco+cuotas_fiado+venta,0.616,49630,8057465,9815
2025-S1,medio,venta,0.61,49155,8057465,9815
2025-S1,medio,ahorro+prestamo_familia+prestamo_banco,0.478,38545,8057465,9815
2025-S1,medio,ahorro+prestamo_familia+venta,0.456,36751,8057465,9815
2025-S1,medio,prestamo_familia+prestamo_banco,0.337,27170,8057465,9815
