persona_id,persona,anio,tipo_ddjj,rectificativa,dj_id,periodo_controlado,bienes_resumen_ars,bienes_detalle_ars,bienes_ratio_resumen_detalle,bienes_estado,deudas_resumen_ars,deudas_detalle_ars,deudas_ratio_resumen_detalle,deudas_estado,calidad_fuente,fuente_url
dip-frade-monica,Mónica Frade,2022,Anual,0,643954,cierre,10033115.72,10033115.72,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-frade-monica,Mónica Frade,2023,Anual,0,707715,cierre,55556746.7,55556746.7,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-frade-monica,Mónica Frade,2024,Anual,0,797853,cierre,87585548.96,87585548.96,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-freites-andrea,Andrea Freites,2023,Anual,0,753307,cierre,30781370.36,30781370.36,1.0,concilia,8233089.19,8233089.19,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-frias-maira,Maira Frias,2024,Anual,0,791382,cierre,81121970.0,8112197.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-galmarini-sebastian,Sebastián Galmarini,2024,Anual,0,824600,cierre,467294286.86,467294286.86,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-garcia-carlos,Carlos García,2022,Inicial,0,677635,inicio,42306000.0,4230600.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-garcia-carlos,Carlos García,2024,Inicial,0,690570,inicio,42306000.0,4230600.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-garcia-alvaro,Álvaro García,2022,Baja,0,604731,cierre,152099010.3,152099010.3,1.0,concilia,1500000.0,150000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-garcia-aresca-ignacio,Ignacio García Aresca,2022,Anual,0,663765,cierre,110817646.39,110817646.39,1.0,concilia,40000000.0,4000000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-garcia-aresca-ignacio,Ignacio García Aresca,2023,Anual,0,729773,cierre,355440581.61,355440581.61,1.0,concilia,25000000.0,2500000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-garrido-jose-luis,José Luis Garrido,2023,Inicial,0,687973,inicio,106121691.81,106121691.81,1.0,concilia,0.0,5696510.97,0.0,no_concilia_otro,inconsistencia_otro,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-garrido-jose-luis,José Luis Garrido,2024,Anual,0,798630,cierre,152217676.54,152217676.54,1.0,concilia,2853401.75,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-giudici-silvana,Silvana Giudici,2022,Anual,2,675835,cierre,18737516.06,18737516.06,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
