date,original,sa,tc,population,pc_sa_raw,pc_tc_raw,sa_nov2023_100,tc_nov2023_100,pc_sa_raw_nov2023_100,pc_tc_raw_nov2023_100,running_peak_sa,drawdown_sa_pct,running_peak_pc,drawdown_pc_pct,gap_nov2023,cum_loss_months_base,cum_recovery_months_base,cum_net_months_base
2007-06,136.12098630494512,128.47743985277063,127.75643667580513,40625086.75033049,3.1625148431646225e-06,3.1447671105530823e-06,87.78188096584368,88.08999882899738,99.9226723501304,100.27340486971616,128.47743985277063,0.0,3.1625148431646225e-06,0.0,-0.12218119034156316,0.0,0.0,0.0
2007-07,127.38755189795539,127.72448775800072,128.6735313546623,40658043.381847724,3.1414322267909445e-06,3.164774314056395e-06,87.26742837999033,88.72234950571209,99.25654698071315,100.91135049388215,128.47743985277063,-0.5860578290108776,3.1625148431646225e-06,-0.6666408671328616,-0.12732571620009658,0.0,0.0,0.0
2007-08,126.59522767863001,128.75385596179828,129.5838721290755,40693101.6260911,3.1640216846789943e-06,3.184418659451373e-06,87.9707415627509,89.35004326297886,99.97028244475163,101.53772609816171,128.75385596179828,0.0,3.1640216846789943e-06,0.0,-0.12029258437249091,0.0,0.0,0.0
2007-09,123.5104632944452,129.62130963436823,130.4812592750099,40728159.87033448,3.1825967597613365e-06,3.2037111347632884e-06,88.56342705769991,89.96880529713857,100.55717965579353,102.15288204449521,129.62130963436823,0.0,3.1825967597613365e-06,0.0,-0.11436572942300094,0.0,0.0,0.0
2007-10,128.41538266104467,131.25183396903802,131.35297200532628,40762087.20347324,3.2199488047278985e-06,3.2224299837652573e-06,89.67747862365512,90.56986443271585,101.73735313667633,102.74974745890721,131.25183396903802,0.0,3.2199488047278985e-06,0.0,-0.10322521376344884,0.0,0.0,0.0
2007-11,129.73508945617357,132.63394522436434,132.18035192895658,40797145.447716616,3.251059449596559e-06,3.2399411889822457e-06,90.62180259084842,91.14035542636087,102.72032362945723,103.3081061890616,132.63394522436434,0.0,3.251059449596559e-06,0.0,-0.09378197409151579,0.0,0.0,0.0
2007-12,128.89792837498598,134.19545745914905,132.93703575783613,40831072.78085537,3.2866013141361744e-06,3.255781117271228e-06,91.68870181671764,91.6621003915016,103.84330273350182,103.81317492279976,134.19545745914905,0.0,3.2866013141361744e-06,0.0,-0.08311298183282356,0.0,0.0,0.0
2008-01,126.22689251081431,135.1848834031644,133.5908792494573,40866131.02509875,3.3079931966189293e-06,3.2689876897671028e-06,92.36472455301752,92.11293538588559,104.5191996605619,104.23427700898485,135.1848834031644,0.0,3.3079931966189293e-06,0.0,-0.07635275446982481,0.0,0.0,0.0
2008-02,122.8249045091645,133.3999935398552,134.10537785438112,40901189.26934213,3.2615186972043962e-06,3.2787647559896517e-06,91.14520313589011,92.46768996956477,103.05079353191657,104.5460265552332,135.1848834031644,-1.3203324353848855,3.3079931966189293e-06,-1.404915205449464,-0.08854796864109882,0.0,0.0,0.0
2008-03,132.33412728743554,133.34856433703652,134.4429606601326,40933985.69137626,3.2576491657182953e-06,3.28438480615525e-06,91.11006426508781,92.70045842912036,102.92853199449806,104.7252263324606,135.1848834031644,-1.358376040205178,3.3079931966189293e-06,-1.5218904002611056,-0.0888993573491218,0.0,0.0,0.0
