persona_id,persona,nivel_cargo_actual,jurisdiccion_actual,oa_nombre,oa_person_key,estado_revision_identidad,anio,tipo_ddjj,rectificativa,dj_id,organismo_oa,cargo_oa,total_bienes_ars,deudas_ars,diferencia_valuacion_ars,ingresos_neto_gastos_ars,fuente_url,publicable_en_tab
dip-cafiero-santiago,Santiago Cafiero,Diputados nacionales,Buenos Aires,CAFIERO SANTIAGO ANDRES,3864a16581d86a6c,identidad_confirmada_cruce_oficial,2020,Anual,1,542032,JEFATURA DE GABINETE DE MINISTROS,JEFE DE GABINETE DE MINISTROS,6102147.90,954267.82,326157.76,3407419.95,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-cafiero-santiago,Santiago Cafiero,Diputados nacionales,Buenos Aires,CAFIERO SANTIAGO ANDRES,3864a16581d86a6c,identidad_confirmada_cruce_oficial,2021,Anual,0,591692,JEFATURA DE GABINETE DE MINISTROS,JEFE DE GABINETE DE MINISTROS,8488690.47,742883.01,1661262.90,5230397.71,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-cafiero-santiago,Santiago Cafiero,Diputados nacionales,Buenos Aires,CAFIERO SANTIAGO ANDRES,3864a16581d86a6c,identidad_confirmada_cruce_oficial,2022,Anual,0,655028,MINISTERIO DE RELACIONES EXTERIORES Y CULTO,MINISTRO DE RELACIONES EXTERIORES -COM INT Y CULTO,15449899.22,407880.06,5590407.46,8704328.83,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-cafiero-santiago,Santiago Cafiero,Diputados nacionales,Buenos Aires,CAFIERO SANTIAGO ANDRES,3864a16581d86a6c,identidad_confirmada_cruce_oficial,2023,Anual,1,747348,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,: DIPUTADO NACIONAL POR LA PROVINCIA DE BUENOS AIR,57675643.23,0.00,25609859.90,34922627.71,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-cafiero-santiago,Santiago Cafiero,Diputados nacionales,Buenos Aires,CAFIERO SANTIAGO ANDRES,3864a16581d86a6c,identidad_confirmada_cruce_oficial,2024,Anual,0,806605,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL POR LA PROV DE BS AS,110974631.12,0.00,62540113.90,32141337.81,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-campero-mariano,Mariano Campero,Diputados nacionales,Tucuman,CAMPERO MARIANO,4f2c50c68e3195c7,identidad_confirmada_cruce_oficial,2022,Anual,0,688123,MUNICIPALIDAD DE YERBA BUENA,INTENDENTE MUNICIPALIDAD YERBA BUENA TUCUMAN,58251740.00,77336.72,0.00,2639388.57,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-campero-mariano,Mariano Campero,Diputados nacionales,Tucuman,CAMPERO MARIANO,4f2c50c68e3195c7,identidad_confirmada_cruce_oficial,2023,Anual,0,753115,MUNICIPALIDAD DE YERBA BUENA,INTENDENTE MUNICIPALIDAD YERBA BUENA TUCUMAN,21435414.59,363262.69,0.00,5321656.67,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-campero-mariano,Mariano Campero,Diputados nacionales,Tucuman,CAMPERO MARIANO,4f2c50c68e3195c7,identidad_confirmada_cruce_oficial,2024,Anual,0,771502,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,538909960.00,0.00,0.00,50462173.45,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-campitelli-celia,Celia Campitelli,Diputados nacionales,Santiago Del Estero,CAMPITELLI CELIA MARIA,200d5116e36badec,identidad_confirmada_cruce_oficial,2023,Anual,0,714775,,DIPUTADA NACIONAL,232799320.00,0.00,81665590.00,0.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-campitelli-celia,Celia Campitelli,Diputados nacionales,Santiago Del Estero,CAMPITELLI CELIA MARIA,200d5116e36badec,identidad_confirmada_cruce_oficial,2024,Anual,0,781783,,DIPUTADA NACIONAL,71771615.51,0.00,0.00,0.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-campo-julieta-marisol,Julieta Marisol Campo,Diputados nacionales,Chaco,CAMPO JULIETA MARISOL,d94b26a252bab907,revision_manual_identidad,2022,Anual,0,675797,MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE JUVENTUDES Y DIVERSIDADES,7560190.00,0.00,0.00,1886261.22,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,no · identidad pendiente
dip-campo-julieta-marisol,Julieta Marisol Campo,Diputados nacionales,Chaco,CAMPO JULIETA MARISOL,d94b26a252bab907,revision_manual_identidad,2023,Baja,1,690617,MINISTERIO DE DESARROLLO HUMANO,SUBSECRETARIA DE JUVENTUDES Y DIVERSIDADES,91057590.00,2470000.00,4088582.54,3214157.46,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,no · identidad pendiente
dip-capozzi-sergio-eduardo,Sergio Eduardo Capozzi,Diputados nacionales,Rio Negro,CAPOZZI SERGIO EDUARDO,9e8364fc1e5f6917,revision_manual_identidad,2022,Anual,0,676818,,diputado nacional,17680016.74,0.00,0.00,1890655.58,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,no · identidad pendiente
dip-capozzi-sergio-eduardo,Sergio Eduardo Capozzi,Diputados nacionales,Rio Negro,CAPOZZI SERGIO EDUARDO,9e8364fc1e5f6917,revision_manual_identidad,2023,Inicial,0,687776,,DIPUTADO NACIONAL,19509411.89,0.00,0.00,0.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,no · identidad pendiente
