fecha,banco_real,banco_promedio_historico,banco_brecha_tecnica_pp,monto_personales,impacto_banco_nominal,impacto_hogar_banco_nominal,impacto_hogar_banco_constante,pf_real,pf_promedio_historico,pf_brecha_pp,monto_pf,impacto_hogar_pf_nominal,impacto_hogar_pf_constante,impacto_hogar_total_nominal,impacto_hogar_total,fintech_tna,fintech_real,fintech_promedio_historico,fintech_brecha_tecnica_pp,stock_fintech_constante_feb_2026,stock_fintech_constante_jul_2026,impacto_costo_fintech_constante,impacto_hogar_fintech_constante,impacto_hogar_total_ampliado,fintech_tasa_metodo,fintech_stock_metodo,fintech_tasa_observada,ipc,ipc_ref,factor_ipc,periodo_referencia,ventana
2023-11,-1.400304,1.069151,-2.469455,171540325000.0,-4236111517.780579,4236111517.780579,18166125572.84689,-2.061324,-0.528703,-1.532621,12010012057000.0,-184067936120.86758,-789356282871.9756,-179831824603.087,-771190157299.1287,210.840206,4.218862,6.986491,-2.767629,967960583333.3334,1090982889734.6895,-30194359291.53984,30194359291.53984,-740995798007.5889,TNA oficial mensual,interpolado entre cortes oficiales,True,2816.0628,12076.3937,4.288396,2026-07,espejo
2023-12,-11.08133,1.069151,-12.150481,162761320000.0,-19776283627.295036,19776283627.295036,67595017051.74118,-12.449928,-0.528703,-11.921225,11358501537000.0,-1354072495756.0215,-4628197853796.716,-1334296212128.7266,-4560602836744.975,211.370008,-6.257893,6.986491,-13.244384,918273000000.0,1034980296052.3539,-137076762031.38547,137076762031.38547,-4423526074713.589,TNA oficial mensual,corte oficial,True,3533.1922,12076.3937,3.417984,2026-07,post_shock
2024-01,-7.669443,1.069151,-8.738594,233660768000.0,-20418666377.293793,20418666377.293793,57862719523.41664,-9.812128,-0.528703,-9.283425,11929964304000.0,-1107509258126.432,-3138476156494.7188,-1087090591749.1381,-3080613436971.3022,209.025235,-2.649319,6.986491,-9.63581,1020366916666.6666,1150049771139.622,-110816609461.69717,110816609461.69717,-2969796827509.605,TNA oficial mensual,interpolado entre cortes oficiales,True,4261.5324,12076.3937,2.833815,2026-07,post_shock
2024-02,-2.374831,1.069151,-3.443982,303967648000.0,-10468591765.251144,10468591765.251144,26197344977.030968,-3.986784,-0.528703,-3.458081,12646423343000.0,-437323530406.2431,-1094389355276.4395,-426854938640.99194,-1068192010299.4084,197.778658,2.861939,6.986491,-4.124552,1122460833333.3333,1265119246226.8901,-52180501619.02836,52180501619.02836,-1016011508680.3801,TNA oficial mensual,interpolado entre cortes oficiales,True,4825.7881,12076.3937,2.502471,2026-07,post_shock
2024-03,-0.513121,1.069151,-1.582272,312343159000.0,-4942119049.880542,4942119049.880542,11140925959.791992,-3.684896,-0.528703,-3.156193,14733543756000.0,-465019038934.41974,-1048283667465.9276,-460076919884.5392,-1037142741506.1356,190.935469,4.41546,6.986491,-2.571031,1224554750000.0,1380188721314.1584,-35485076748.38703,35485076748.38703,-1001657664757.7485,TNA oficial mensual,interpolado entre cortes oficiales,True,5357.0929,12076.3937,2.254281,2026-07,post_shock
2024-04,-0.462339,1.069151,-1.53149,497766178000.0,-7623240356.774191,7623240356.774191,15790337463.384117,-3.449561,-0.528703,-2.920858,18471505415000.0,-539526396314.16205,-1117543651976.5095,-531903155957.3879,-1101753314513.1255,173.991442,5.20745,6.986491,-1.779041,1326648666666.6665,1495258196401.4263,-26601250261.7203,26601250261.7203,-1075152064251.4052,TNA oficial mensual,interpolado entre cortes oficiales,True,5830.227,12076.3937,2.071342,2026-07,post_shock
2024-05,1.531476,1.069151,0.462325,827370607000.0,3825139301.636802,-3825139301.636802,-7605538447.693411,-1.232834,-0.528703,-0.704131,19002219748000.0,-133800471253.90729,-266035965802.7724,-137625610555.5441,-273641504250.46582,157.005111,8.55033,6.986491,1.563839,1428742583333.3335,1610327671488.6948,25182940150.415768,-25182940150.415768,-298824444400.8816,TNA oficial mensual,interpolado entre cortes oficiales,True,6073.717,12076.3937,1.988304,2026-07,post_shock
2024-06,0.690222,1.069151,-0.378929,780949138000.0,-2959244512.106979,2959244512.106979,5626354737.699708,-1.810075,-0.528703,-1.281372,16907147642000.0,-216643412570.52094,-411899958155.10297,-213684168058.41394,-406273603417.40326,146.007567,7.258027,6.986491,0.271536,1530836500000.0,1725397146575.963,4685082161.295418,-4685082161.295418,-410958685578.69867,TNA oficial mensual,interpolado entre cortes oficiales,True,6351.715,12076.3937,1.901281,2026-07,post_shock
2024-07,1.177473,1.069151,0.108322,1151928993000.0,1247789938.094267,-1247789938.094267,-2280474761.949911,-1.020902,-0.528703,-0.492199,21390601655000.0,-105284272641.45459,-192418707074.8377,-106532062579.54886,-194699181836.78763,140.610332,7.388765,6.986491,0.402274,1632930416666.6667,1840466621663.2312,7403721164.267062,-7403721164.267062,-202102903001.0547,TNA oficial mensual,interpolado entre cortes oficiales,True,6607.748,12076.3937,1.827611,2026-07,post_shock
2024-08,1.406723,1.069151,0.337572,1243078338000.0,4196281616.849749,-4196281616.849749,-7362008170.208784,-0.989799,-0.528703,-0.461096,21218450798000.0,-97837373534.12325,-171647093564.40082,-102033655150.97299,-179009101734.6096,139.560699,7.159093,6.986491,0.172602,1735024333333.3333,1955536096750.499,3375298024.928938,-3375298024.928938,-182384399759.5385,TNA oficial mensual,interpolado entre cortes oficiales,True,6883.441,12076.3937,1.754412,2026-07,post_shock
2024-09,2.144412,1.069151,1.075261,1308210433000.0,14066673647.476307,-14066673647.476307,-23851294159.386734,-0.252512,-0.528703,0.276191,22234786754000.0,61410536844.81221,104127017906.20258,47343863197.33591,80275723746.81584,138.968231,7.839507,6.986491,0.853017,1837118250000.0,2070605571837.7673,17662607907.40785,-17662607907.40785,62613115839.40799,TNA oficial mensual,interpolado entre cortes oficiales,True,7122.242,12076.3937,1.695589,2026-07,post_shock
2024-10,3.080161,1.069151,2.01101,1354893407000.0,27247038862.818893,-27247038862.818893,-44988793813.38757,0.595437,-0.528703,1.12414,26204264776000.0,294572689183.0065,486382026444.481,267325650320.18756,441393232631.09344,130.313754,7.953651,6.986491,0.967161,1939212166666.6667,2185675046925.0356,21138990028.28871,-21138990028.28871,420254242602.80475,TNA oficial mensual,interpolado entre cortes oficiales,True,7313.954,12076.3937,1.651144,2026-07,post_shock
